codim: 4, face: 166/175, weights: [2, 2, 1, 1, 2, 1], discriminant: 1
codim: 4, face: 167/175, weights: [2, 2, 1, 2, 1, 1], discriminant: 1
codim: 4, face: 168/175, weights: [1, 1, 1, -1, 0, 0], discriminant: 1
codim: 4, face: 169/175, weights: [0, 0, 0, -1, -1, -1], discriminant: 1
codim: 4, face: 170/175, weights: [1, 1, 1, 0, 0, 1], discriminant: 1
codim: 4, face: 171/175, weights: [1, 1, 1, 0, -1, 0], discriminant: 1
codim: 4, face: 172/175, weights: [1, 1, 1, 0, 1, 0], discriminant: 1
codim: 4, face: 173/175, weights: [1, 1, 1, 0, 0, -1], discriminant: 1
codim: 4, face: 174/175, weights: [2, 2, 2, 1, 1, 1], discriminant: 1
codim: 4, face: 175/175, weights: [1, 1, 1, 1, 0, 0], discriminant: 1
codim: 3, face: 1/140, weights: [-2, -1, -1, -1, -1, 0], discriminant: 1
codim: 3, face: 2/140, weights: [-2, -1, -1, -1, 0, -1], discriminant: 1
codim: 3, face: 3/140, weights: [-1, 0, 0, 0, 1, 1], discriminant: 1
codim: 3, face: 4/140, weights: [-1, -1, -1, -1, 0, 0], discriminant: m2^2*m4^2 - 2*m2*m3*m4*s234 + m2*m4*s23*s34 - 2*m3^2*s234^2 - 2*m3*s23*s234*s34 + s23^2*s34^2
codim: 3, face: 5/140, weights: [-2, -1, -1, 0, -1, -1], discriminant: 1
codim: 3, face: 6/140, weights: [-1, 0, 0, 1, 0, 1], discriminant: 1
codim: 3, face: 7/140, weights: [-1, -1, -1, 0, -1, 0], discriminant: m2^2*s45^2 - 2*m2*m3*s45*s61 + m2*s23*s345*s45 - 2*m3^2*s61^2 - 2*m3*s23*s345*s61 + s23^2*s345^2
codim: 3, face: 8/140, weights: [-1, 0, 0, 1, 1, 0], discriminant: 1
codim: 3, face: 9/140, weights: [-1, -1, -1, 0, 0, -1], discriminant: m1^2*m3^2 - 2*m1*m2*m3*s123 + m1*m3*s12*s23 - 2*m2^2*s123^2 - 2*m2*s12*s123*s23 + s12^2*s23^2
codim: 3, face: 10/140, weights: [0, 0, 0, 1, 1, 1], discriminant: m2^2 - 2*m2*m3 + m2*s23 - 2*m3^2 - 2*m3*s23 + s23^2
codim: 3, face: 11/140, weights: [-2, -1, 0, -1, -1, -1], discriminant: 1
codim: 3, face: 12/140, weights: [-1, 0, 1, 0, 0, 1], discriminant: 1
codim: 3, face: 13/140, weights: [-1, -1, 0, -1, -1, 0], discriminant: m2^2*m5^2 - 2*m2*m5*s234*s345 + m2*m5*s34*s61 - 2*s234^2*s345^2 - 2*s234*s34*s345*s61 + s34^2*s61^2
codim: 3, face: 14/140, weights: [-1, 0, 1, 0, 1, 0], discriminant: 1
codim: 3, face: 15/140, weights: [-1, -1, 0, -1, 0, -1], discriminant: m1^2*s34^2 - 2*m1*m2*s34*s56 + m1*s12*s234*s34 - 2*m2^2*s56^2 - 2*m2*s12*s234*s56 + s12^2*s234^2
codim: 3, face: 16/140, weights: [0, 0, 1, 0, 1, 1], discriminant: m2^2 - 2*m2*s234 + m2*s34 - 2*s234^2 - 2*s234*s34 + s34^2
codim: 3, face: 17/140, weights: [-1, 0, 1, 1, 0, 0], discriminant: 1
