codim: 4, face: 21/195, weights: [-2, -2, -3, -2, 0, -1], discriminant: 1
codim: 4, face: 22/195, weights: [-1, 0, -1, -1, 1, 1], discriminant: 1
codim: 4, face: 23/195, weights: [-1, -1, -2, -1, 1, 1], discriminant: 1
codim: 4, face: 24/195, weights: [-2, -1, -1, -2, -1, -1], discriminant: 1
codim: 4, face: 25/195, weights: [-1, 0, 0, -1, 0, 1], discriminant: 1
codim: 4, face: 26/195, weights: [-1, -2, -1, -2, -2, -1], discriminant: 1
codim: 4, face: 27/195, weights: [0, -1, 0, -1, -1, 1], discriminant: s34 - s51
codim: 4, face: 28/195, weights: [-1, 0, 0, -1, 1, 0], discriminant: 1
codim: 4, face: 29/195, weights: [-1, -1, -1, -2, 0, -1], discriminant: 1
codim: 4, face: 30/195, weights: [0, 0, 0, -1, 1, 1], discriminant: 1
codim: 4, face: 31/195, weights: [-1, -2, -2, -1, 0, 0], discriminant: 1
codim: 4, face: 32/195, weights: [-1, -2, -2, -2, -1, -1], discriminant: 1
codim: 4, face: 33/195, weights: [0, -1, -1, -1, 0, 1], discriminant: 1
codim: 4, face: 34/195, weights: [0, -1, 0, -1, 0, 0], discriminant: 1
codim: 4, face: 35/195, weights: [-2, -2, -1, 1, -1, 0], discriminant: 1
codim: 4, face: 36/195, weights: [-2, 0, 0, 2, 2, 0], discriminant: 1
codim: 4, face: 37/195, weights: [-1, 1, 2, 1, 2, 0], discriminant: 1
codim: 4, face: 38/195, weights: [-1, 0, 2, 2, 0, 0], discriminant: 1
codim: 4, face: 39/195, weights: [-1, -2, -1, 1, 0, 0], discriminant: s12 + s23 - s45
codim: 4, face: 40/195, weights: [0, 0, 2, 2, 1, 0], discriminant: 1
codim: 4, face: 41/195, weights: [-3, -2, -2, 0, -1, -1], discriminant: 1
codim: 4, face: 42/195, weights: [-2, -2, -1, 0, -2, -1], discriminant: 1
codim: 4, face: 43/195, weights: [-2, -3, -2, 0, -2, -1], discriminant: 1
codim: 4, face: 44/195, weights: [-2, 0, 0, 0, 1, -2], discriminant: m1
codim: 4, face: 45/195, weights: [-2, 0, 0, 1, 0, -2], discriminant: m1
codim: 4, face: 46/195, weights: [-2, -2, -2, 0, 0, -2], discriminant: 1
codim: 4, face: 47/195, weights: [0, 1, 1, 2, 2, -1], discriminant: 1
codim: 4, face: 48/195, weights: [-2, 0, 1, 0, 0, -2], discriminant: m1
codim: 4, face: 49/195, weights: [-1, -1, 0, -1, 0, -2], discriminant: 1
codim: 4, face: 50/195, weights: [0, 1, 2, 1, 2, -1], discriminant: 1
codim: 4, face: 51/195, weights: [-1, -2, -1, 0, -2, -2], discriminant: m1 - s12 - s23
codim: 4, face: 52/195, weights: [-1, -2, 0, -1, -2, -2], discriminant: 1
codim: 4, face: 53/195, weights: [0, 0, 2, 2, 0, -1], discriminant: 1
codim: 4, face: 54/195, weights: [-1, -2, -1, -1, -1, -2], discriminant: 1
codim: 4, face: 55/195, weights: [0, -1, 0, 1, 0, -1], discriminant: 1
codim: 4, face: 56/195, weights: [0, -1, 1, 0, 0, -1], discriminant: 1
codim: 4, face: 57/195, weights: [-2, -1, -1, 1, 0, 1], discriminant: 1
codim: 4, face: 58/195, weights: [-1, -1, 0, 1, -1, 1], discriminant: 1
codim: 4, face: 59/195, weights: [-1, -2, -1, 1, -1, 1], discriminant: 1
codim: 4, face: 60/195, weights: [0, 2, 2, 2, 3, 2], discriminant: 1
codim: 4, face: 61/195, weights: [0, 2, 2, 3, 2, 2], discriminant: 1
codim: 4, face: 62/195, weights: [0, 0, 0, 2, 2, 2], discriminant: 1
codim: 4, face: 63/195, weights: [1, 2, 2, 3, 3, 1], discriminant: 1
codim: 4, face: 64/195, weights: [0, 2, 3, 2, 2, 2], discriminant: 1
codim: 4, face: 65/195, weights: [1, 1, 2, 1, 2, 2], discriminant: 1
codim: 4, face: 66/195, weights: [1, 2, 3, 2, 3, 1], discriminant: 1
codim: 4, face: 67/195, weights: [1, 0, 1, 2, 0, 2], discriminant: 1
codim: 4, face: 68/195, weights: [1, 0, 2, 1, 0, 2], discriminant: 1
codim: 4, face: 69/195, weights: [1, 1, 3, 3, 1, 1], discriminant: 1
codim: 4, face: 70/195, weights: [1, 0, 1, 1, 1, 2], discriminant: 1
codim: 4, face: 71/195, weights: [1, 0, 1, 2, 1, 1], discriminant: 1
codim: 4, face: 72/195, weights: [1, 0, 2, 1, 1, 1], discriminant: 1
codim: 4, face: 73/195, weights: [-2, 0, -2, 0, 0, 0], discriminant: 1
codim: 4, face: 74/195, weights: [-2, 0, -2, -2, -1, -1], discriminant: s23 - s51
codim: 4, face: 75/195, weights: [-2, 0, -1, 0, -1, -1], discriminant: 1
codim: 4, face: 76/195, weights: [-2, -2, -3, -1, -1, -1], discriminant: 1
codim: 4, face: 77/195, weights: [-1, 0, -2, -1, -1, -1], discriminant: 1
codim: 4, face: 78/195, weights: [-1, 1, -1, -1, 0, 1], discriminant: s23 - s51
codim: 4, face: 79/195, weights: [-1, 1, 0, 1, 0, 1], discriminant: 1
codim: 4, face: 80/195, weights: [-1, -1, -2, 0, 0, 1], discriminant: 1
codim: 4, face: 81/195, weights: [0, 1, -1, 0, 0, 1], discriminant: 1
codim: 4, face: 82/195, weights: [-2, -1, -1, -1, -2, -1], discriminant: 1
codim: 4, face: 83/195, weights: [-1, 0, 0, 0, -1, 1], discriminant: 1
codim: 4, face: 84/195, weights: [-1, -1, -2, -2, -2, -1], discriminant: 1
codim: 4, face: 85/195, weights: [0, 0, -1, -1, -1, 1], discriminant: s23 - s51
codim: 4, face: 86/195, weights: [-1, 0, 0, 1, -1, 0], discriminant: 1
codim: 4, face: 87/195, weights: [-1, -1, -1, 0, -2, -1], discriminant: 1
codim: 4, face: 88/195, weights: [0, 0, 0, 1, -1, 1], discriminant: 1
codim: 4, face: 89/195, weights: [-1, -2, -2, 0, -1, 0], discriminant: 1
codim: 4, face: 90/195, weights: [-1, -2, -2, -1, -2, -1], discriminant: 1
codim: 4, face: 91/195, weights: [0, -1, -1, 0, -1, 1], discriminant: 1
codim: 4, face: 92/195, weights: [0, 0, -1, 0, -1, 0], discriminant: 1
codim: 4, face: 93/195, weights: [-1, 2, 0, 0, 2, 0], discriminant: 1
codim: 4, face: 94/195, weights: [-1, 2, 1, 2, 1, 0], discriminant: 1
codim: 4, face: 95/195, weights: [-1, -1, -2, 0, 1, 0], discriminant: s12 + s23 - s45
codim: 4, face: 96/195, weights: [0, 2, 0, 1, 2, 0], discriminant: 1
codim: 4, face: 97/195, weights: [-2, 1, 0, 0, 0, -2], discriminant: m1
codim: 4, face: 98/195, weights: [-1, -1, -2, -2, 0, -2], discriminant: s23 + s34 - s45 - s51
codim: 4, face: 99/195, weights: [-1, 0, -2, -2, -1, -2], discriminant: 1
codim: 4, face: 100/195, weights: [0, 2, 0, 0, 2, -1], discriminant: 1
codim: 4, face: 101/195, weights: [-1, 0, -1, 0, -1, -2], discriminant: 1
codim: 4, face: 102/195, weights: [0, 2, 1, 2, 1, -1], discriminant: 1
codim: 4, face: 103/195, weights: [-1, -1, -2, -1, -1, -2], discriminant: 1
codim: 4, face: 104/195, weights: [0, 0, -1, 0, 1, -1], discriminant: 1
codim: 4, face: 105/195, weights: [0, 1, -1, 0, 0, -1], discriminant: 1
codim: 4, face: 106/195, weights: [0, 3, 2, 2, 2, 2], discriminant: 1
codim: 4, face: 107/195, weights: [1, 1, 0, 0, 2, 2], discriminant: 1
codim: 4, face: 108/195, weights: [1, 2, 0, 0, 1, 2], discriminant: 1
codim: 4, face: 109/195, weights: [1, 3, 1, 1, 3, 1], discriminant: 1
codim: 4, face: 110/195, weights: [1, 2, 1, 2, 1, 2], discriminant: 1
codim: 4, face: 111/195, weights: [1, 3, 2, 3, 2, 1], discriminant: 1
codim: 4, face: 112/195, weights: [1, 1, 0, 1, 1, 2], discriminant: 1
codim: 4, face: 113/195, weights: [1, 1, 0, 1, 2, 1], discriminant: 1
codim: 4, face: 114/195, weights: [1, 2, 0, 1, 1, 1], discriminant: 1
codim: 4, face: 115/195, weights: [-1, 1, 0, -1, 0, 0], discriminant: 1
codim: 4, face: 116/195, weights: [-2, 0, 0, -2, -2, -2], discriminant: 1
codim: 4, face: 117/195, weights: [-1, -1, -1, -3, -2, -2], discriminant: 1
codim: 4, face: 118/195, weights: [-1, 0, -2, -3, -2, -2], discriminant: 1
codim: 4, face: 119/195, weights: [0, 1, 0, -2, -1, -1], discriminant: m1 - s51
codim: 4, face: 120/195, weights: [-1, 1, 1, 0, 0, 1], discriminant: 1
codim: 4, face: 121/195, weights: [0, 1, 0, -1, 0, 1], discriminant: 1
codim: 4, face: 122/195, weights: [-1, 0, 1, 0, -1, 0], discriminant: 1
codim: 4, face: 123/195, weights: [-1, -2, 0, -2, -3, -2], discriminant: 1
codim: 4, face: 124/195, weights: [-1, -1, -1, -2, -3, -2], discriminant: 1
codim: 4, face: 125/195, weights: [0, 0, 1, -1, -2, -1], discriminant: m1 - s51
codim: 4, face: 126/195, weights: [0, 0, 1, 0, -1, 1], discriminant: 1
codim: 4, face: 127/195, weights: [-1, -2, -2, -3, -3, -2], discriminant: 1
codim: 4, face: 128/195, weights: [0, -1, 0, -2, -2, -1], discriminant: 1
codim: 4, face: 129/195, weights: [0, 0, -1, -2, -2, -1], discriminant: 1
codim: 4, face: 130/195, weights: [-1, 2, 2, 1, 1, 0], discriminant: 1
codim: 4, face: 131/195, weights: [0, 2, 1, 0, 2, 0], discriminant: 1
codim: 4, face: 132/195, weights: [-1, -1, 0, -2, -2, -3], discriminant: 1
codim: 4, face: 133/195, weights: [-1, 0, -1, -2, -2, -3], discriminant: 1
codim: 4, face: 134/195, weights: [0, 2, 2, 0, 0, -2], discriminant: 1
codim: 4, face: 135/195, weights: [-1, -1, -2, -3, -2, -3], discriminant: 1
codim: 4, face: 136/195, weights: [0, 0, 0, -2, 0, -2], discriminant: 1
codim: 4, face: 137/195, weights: [0, 1, -1, -2, -1, -2], discriminant: 1
codim: 4, face: 138/195, weights: [1, 2, 2, 1, 1, 2], discriminant: 1
codim: 4, face: 139/195, weights: [1, 3, 3, 2, 2, 1], discriminant: 1
codim: 4, face: 140/195, weights: [1, 1, 1, 0, 1, 2], discriminant: 1
codim: 4, face: 141/195, weights: [1, 1, 1, 0, 2, 1], discriminant: 1
codim: 4, face: 142/195, weights: [1, 2, 1, 0, 1, 1], discriminant: 1
codim: 4, face: 143/195, weights: [0, 1, 2, 2, 0, 0], discriminant: 1
codim: 4, face: 144/195, weights: [-1, -2, -1, -2, -3, -3], discriminant: 1
codim: 4, face: 145/195, weights: [0, -1, 1, -1, -2, -2], discriminant: 1
codim: 4, face: 146/195, weights: [0, 0, 0, 0, -2, -2], discriminant: 1
codim: 4, face: 147/195, weights: [1, 1, 1, 1, 0, 2], discriminant: 1
codim: 4, face: 148/195, weights: [1, 1, 1, 2, 0, 1], discriminant: 1
codim: 4, face: 149/195, weights: [1, 1, 2, 1, 0, 1], discriminant: 1
codim: 4, face: 150/195, weights: [1, -1, -1, -1, 0, 0], discriminant: s23 + s34 - s45 - s51
codim: 4, face: 151/195, weights: [1, -1, 0, 1, 0, 0], discriminant: 1
codim: 4, face: 152/195, weights: [1, -1, -1, 0, -1, 0], discriminant: m1 - s12 - s23
codim: 4, face: 153/195, weights: [1, 0, -1, 0, 1, 0], discriminant: 1
codim: 4, face: 154/195, weights: [1, -1, 0, 0, 0, -1], discriminant: 1
codim: 4, face: 155/195, weights: [0, -2, -2, -2, -2, -2], discriminant: 1
codim: 4, face: 156/195, weights: [1, 0, -1, -1, 1, -1], discriminant: s23 + s34 - s45 - s51
codim: 4, face: 157/195, weights: [1, -1, 0, 1, -1, -1], discriminant: m1 - s12 - s23
codim: 4, face: 158/195, weights: [1, 0, 0, 1, 1, -1], discriminant: 1
codim: 4, face: 159/195, weights: [1, 0, -1, 0, 0, -1], discriminant: 1
codim: 4, face: 160/195, weights: [2, 0, 1, 1, 1, 1], discriminant: 1
codim: 4, face: 161/195, weights: [2, 0, 0, 0, 0, 2], discriminant: 1
codim: 4, face: 162/195, weights: [2, 1, 0, 0, 2, 1], discriminant: 1
codim: 4, face: 163/195, weights: [2, 0, 1, 2, 0, 1], discriminant: 1
codim: 4, face: 164/195, weights: [2, 1, 1, 2, 2, 1], discriminant: 1
codim: 4, face: 165/195, weights: [2, 1, 0, 1, 1, 1], discriminant: 1
codim: 4, face: 166/195, weights: [1, -1, 1, 0, 0, 0], discriminant: 1
codim: 4, face: 167/195, weights: [1, -1, 0, -1, -1, 0], discriminant: 1
codim: 4, face: 168/195, weights: [1, 0, 0, -1, 1, 0], discriminant: 1
codim: 4, face: 169/195, weights: [1, 0, 1, 0, 1, -1], discriminant: 1
codim: 4, face: 170/195, weights: [1, -1, 1, 0, -1, -1], discriminant: 1
codim: 4, face: 171/195, weights: [1, -1, -1, -2, -2, -1], discriminant: 1
codim: 4, face: 172/195, weights: [1, 0, -1, -2, -1, -2], discriminant: 1
codim: 4, face: 173/195, weights: [1, -1, 0, -1, -2, -2], discriminant: 1
codim: 4, face: 174/195, weights: [1, 0, 0, -2, -1, -1], discriminant: 1
codim: 4, face: 175/195, weights: [1, -1, 1, -1, -2, -1], discriminant: 1
codim: 4, face: 176/195, weights: [1, 0, 1, -1, -1, -2], discriminant: 1
codim: 4, face: 177/195, weights: [2, 0, 2, 1, 0, 1], discriminant: 1
codim: 4, face: 178/195, weights: [2, 1, 2, 1, 2, 1], discriminant: 1
codim: 4, face: 179/195, weights: [2, 1, 1, 0, 1, 1], discriminant: 1
codim: 4, face: 180/195, weights: [2, 2, 2, 2, 3, 0], discriminant: 1
codim: 4, face: 181/195, weights: [2, 2, 2, 3, 2, 0], discriminant: 1
codim: 4, face: 182/195, weights: [2, 2, 3, 2, 2, 0], discriminant: 1
codim: 4, face: 183/195, weights: [1, 1, -1, 0, 0, 0], discriminant: 1
codim: 4, face: 184/195, weights: [1, 0, -1, -1, -1, 0], discriminant: 1
codim: 4, face: 185/195, weights: [1, 0, 0, 1, -1, 0], discriminant: 1
codim: 4, face: 186/195, weights: [1, 1, -1, -1, 0, -1], discriminant: 1
codim: 4, face: 187/195, weights: [1, 1, 0, 1, 0, -1], discriminant: 1
codim: 4, face: 188/195, weights: [1, 1, -1, -2, -1, -1], discriminant: 1
codim: 4, face: 189/195, weights: [1, 0, 0, -1, -2, -1], discriminant: 1
