codim: 4, face: 41/208, weights: [0, -1, 2, 1, 2, 1], discriminant: 1
codim: 4, face: 42/208, weights: [-2, -1, -1, -2, -1, -1], discriminant: 1
codim: 4, face: 43/208, weights: [-1, 0, 0, -1, 0, 1], discriminant: 1
codim: 4, face: 44/208, weights: [-1, -2, -2, -3, -2, 0], discriminant: 1
codim: 4, face: 45/208, weights: [-1, -2, -2, -3, -1, -1], discriminant: m2 - s23
codim: 4, face: 46/208, weights: [0, -1, -1, -2, 0, 1], discriminant: m2 - s23
codim: 4, face: 47/208, weights: [-1, 0, 1, -1, 0, 0], discriminant: 1
codim: 4, face: 48/208, weights: [-1, -1, 0, -2, -1, -1], discriminant: 1
codim: 4, face: 49/208, weights: [0, 0, 2, 0, 1, 2], discriminant: 1
codim: 4, face: 50/208, weights: [-1, -3, -2, -3, -2, -1], discriminant: 1
codim: 4, face: 51/208, weights: [0, -2, -1, -2, -1, 1], discriminant: 1
codim: 4, face: 52/208, weights: [0, -2, 0, -2, 0, 0], discriminant: 1
codim: 4, face: 53/208, weights: [-2, -1, 0, 0, -1, -1], discriminant: 1
codim: 4, face: 54/208, weights: [-1, 0, 2, 2, 1, 1], discriminant: 1
codim: 4, face: 55/208, weights: [-1, -2, 0, 0, -1, -1], discriminant: 1
codim: 4, face: 56/208, weights: [0, -1, 2, 2, 1, 1], discriminant: 1
codim: 4, face: 57/208, weights: [-2, -1, -1, -1, -2, -1], discriminant: 1
codim: 4, face: 58/208, weights: [-1, 0, 0, 0, -1, 1], discriminant: 1
codim: 4, face: 59/208, weights: [-1, -1, -1, -1, -2, 0], discriminant: 1
codim: 4, face: 60/208, weights: [-1, 0, 1, 0, -1, 0], discriminant: 1
codim: 4, face: 61/208, weights: [-1, -1, 0, -1, -2, -1], discriminant: 1
codim: 4, face: 62/208, weights: [0, 0, 2, 1, 0, 2], discriminant: 1
codim: 4, face: 63/208, weights: [-1, -2, -1, -1, -2, -1], discriminant: 1
codim: 4, face: 64/208, weights: [0, -1, 0, 0, -1, 1], discriminant: 1
codim: 4, face: 65/208, weights: [0, -1, 1, 0, -1, 0], discriminant: 1
codim: 4, face: 66/208, weights: [-3, -1, -1, -1, -1, -3], discriminant: 1
codim: 4, face: 67/208, weights: [-2, 0, 0, 0, 1, -2], discriminant: 1
codim: 4, face: 68/208, weights: [-2, -1, -2, -1, 0, -3], discriminant: m2 - s12
codim: 4, face: 69/208, weights: [-1, -1, 0, -1, 0, -2], discriminant: 1
codim: 4, face: 70/208, weights: [-2, 0, 0, 1, 0, -2], discriminant: 1
codim: 4, face: 71/208, weights: [-2, -1, -2, 0, -1, -3], discriminant: m2 - s12
codim: 4, face: 72/208, weights: [-1, -1, 0, 0, -1, -2], discriminant: 1
codim: 4, face: 73/208, weights: [-1, 0, -1, 1, 1, -2], discriminant: m2 - s12
codim: 4, face: 74/208, weights: [0, 0, 2, 2, 2, 0], discriminant: 1
codim: 4, face: 75/208, weights: [-1, -2, -1, -1, 0, -2], discriminant: 1
codim: 4, face: 76/208, weights: [-1, -2, -1, 0, -1, -2], discriminant: 1
codim: 4, face: 77/208, weights: [0, -1, 0, 1, 1, -1], discriminant: 1
codim: 4, face: 78/208, weights: [-1, -2, 0, -1, -1, -2], discriminant: 1
codim: 4, face: 79/208, weights: [0, -1, 1, 0, 1, -1], discriminant: 1
codim: 4, face: 80/208, weights: [0, -1, 1, 1, 0, -1], discriminant: 1
codim: 4, face: 81/208, weights: [-2, 1, -2, 0, 0, 0], discriminant: 1
codim: 4, face: 82/208, weights: [-3, 0, -2, -2, -2, -2], discriminant: m5*s23 - s45*s51
codim: 4, face: 83/208, weights: [-1, 1, 0, -1, -1, 1], discriminant: s23 - s51
codim: 4, face: 84/208, weights: [-1, -1, -2, -2, -2, 0], discriminant: 1
codim: 4, face: 85/208, weights: [-2, 0, -3, -2, -2, -2], discriminant: m5*s23 - s45*s51
codim: 4, face: 86/208, weights: [0, 1, -1, -1, -1, 1], discriminant: s23 - s51
codim: 4, face: 87/208, weights: [-2, 1, -1, 0, 1, -1], discriminant: s23 - s45
codim: 4, face: 88/208, weights: [-1, 1, 0, 0, 1, 1], discriminant: 1
codim: 4, face: 89/208, weights: [-1, 1, -2, 0, 1, -1], discriminant: s23 - s45
codim: 4, face: 90/208, weights: [0, 1, -1, 0, 1, 1], discriminant: 1
codim: 4, face: 91/208, weights: [-1, 1, 0, -1, 0, 0], discriminant: 1
codim: 4, face: 92/208, weights: [-2, 0, -2, -2, -1, -2], discriminant: 1
codim: 4, face: 93/208, weights: [0, 1, 0, -1, 0, 1], discriminant: 1
codim: 4, face: 94/208, weights: [-1, -2, -3, -3, -2, -1], discriminant: 1
codim: 4, face: 95/208, weights: [0, -1, -2, -2, -1, 1], discriminant: 1
codim: 4, face: 96/208, weights: [0, 0, -2, -2, 0, 0], discriminant: 1
codim: 4, face: 97/208, weights: [-2, 1, -1, 1, 0, -1], discriminant: m5 - s51
codim: 4, face: 98/208, weights: [-1, 1, 0, 1, 0, 1], discriminant: 1
codim: 4, face: 99/208, weights: [-1, 1, -2, 1, 0, -1], discriminant: m5 - s51
codim: 4, face: 100/208, weights: [0, 1, -1, 1, 0, 1], discriminant: 1
codim: 4, face: 101/208, weights: [-1, 1, 0, 0, -1, 0], discriminant: 1
codim: 4, face: 102/208, weights: [-2, 0, -2, -1, -2, -2], discriminant: 1
codim: 4, face: 103/208, weights: [0, 1, 0, 0, -1, 1], discriminant: 1
codim: 4, face: 104/208, weights: [-1, -1, -2, -1, -2, -1], discriminant: 1
codim: 4, face: 105/208, weights: [0, 0, -1, 0, -1, 1], discriminant: 1
codim: 4, face: 106/208, weights: [0, 1, -1, 0, -1, 0], discriminant: 1
codim: 4, face: 107/208, weights: [0, 2, 2, 2, 2, 3], discriminant: 1
codim: 4, face: 108/208, weights: [0, 2, 2, 2, 3, 2], discriminant: 1
codim: 4, face: 109/208, weights: [1, 1, 2, 2, 3, 3], discriminant: 1
codim: 4, face: 110/208, weights: [1, 2, 1, 1, 2, 2], discriminant: 1
codim: 4, face: 111/208, weights: [0, 2, 2, 3, 2, 2], discriminant: 1
codim: 4, face: 112/208, weights: [1, 1, 2, 3, 2, 3], discriminant: 1
codim: 4, face: 113/208, weights: [1, 2, 1, 2, 1, 2], discriminant: 1
codim: 4, face: 114/208, weights: [1, 1, 2, 3, 3, 2], discriminant: 1
codim: 4, face: 115/208, weights: [0, 2, 0, 2, 2, 0], discriminant: 1
codim: 4, face: 116/208, weights: [1, 1, 0, 1, 2, 2], discriminant: 1
codim: 4, face: 117/208, weights: [1, 1, 0, 2, 1, 2], discriminant: 1
codim: 4, face: 118/208, weights: [1, 1, 0, 2, 2, 1], discriminant: 1
codim: 4, face: 119/208, weights: [1, 2, 0, 1, 1, 2], discriminant: 1
codim: 4, face: 120/208, weights: [1, 2, 0, 1, 2, 1], discriminant: 1
codim: 4, face: 121/208, weights: [1, 2, 0, 2, 1, 1], discriminant: 1
codim: 4, face: 122/208, weights: [0, 2, 2, -1, -1, 0], discriminant: m5 - s45
codim: 4, face: 123/208, weights: [0, 2, 2, 0, 1, 0], discriminant: 1
