codim: 3, face: 62/131, weights: [0, 0, -1, -2, -1, 1], discriminant: 1
codim: 3, face: 63/131, weights: [0, 0, 0, -2, 0, 0], discriminant: 1
codim: 3, face: 64/131, weights: [0, 1, -1, -2, -1, 0], discriminant: 1
codim: 3, face: 65/131, weights: [-1, -1, 1, 1, 0, 0], discriminant: 1
codim: 3, face: 66/131, weights: [0, 0, 1, 1, 0, 1], discriminant: 1
codim: 3, face: 67/131, weights: [-1, 0, 1, 1, 0, -1], discriminant: 1
codim: 3, face: 68/131, weights: [0, 1, 1, 1, 0, 0], discriminant: 1
codim: 3, face: 69/131, weights: [-1, -1, -1, 0, -2, -2], discriminant: 1
codim: 3, face: 70/131, weights: [-1, -1, 0, -1, -2, -2], discriminant: 1
codim: 3, face: 71/131, weights: [0, 0, 1, 1, -1, -1], discriminant: 1
codim: 3, face: 72/131, weights: [-1, -1, -1, -2, -3, -2], discriminant: 1
codim: 3, face: 73/131, weights: [0, 0, 0, 0, -2, 0], discriminant: 1
codim: 3, face: 74/131, weights: [0, 0, 1, -1, -2, -1], discriminant: 1
codim: 3, face: 75/131, weights: [-2, -1, -1, -1, -2, -3], discriminant: 1
codim: 3, face: 76/131, weights: [-1, 0, 0, 1, -1, -2], discriminant: 1
codim: 3, face: 77/131, weights: [-1, 0, 1, 0, -1, -2], discriminant: 1
codim: 3, face: 78/131, weights: [-1, 0, -1, -1, -2, -2], discriminant: 1
codim: 3, face: 79/131, weights: [0, 1, 0, 1, -1, -1], discriminant: 1
codim: 3, face: 80/131, weights: [0, 1, 0, -1, -2, -1], discriminant: 1
codim: 3, face: 81/131, weights: [-1, 1, 0, 0, -1, -2], discriminant: 1
codim: 3, face: 82/131, weights: [0, 1, 1, 0, -1, -1], discriminant: 1
codim: 3, face: 83/131, weights: [0, 0, 1, 1, 1, 0], discriminant: 1
codim: 3, face: 84/131, weights: [1, 1, 1, 1, 2, 2], discriminant: 1
codim: 3, face: 85/131, weights: [1, 1, 1, 2, 1, 2], discriminant: 1
codim: 3, face: 86/131, weights: [1, 1, 1, 2, 2, 1], discriminant: 1
codim: 3, face: 87/131, weights: [1, 1, 2, 1, 1, 2], discriminant: 1
codim: 3, face: 88/131, weights: [1, 1, 2, 1, 2, 1], discriminant: 1
codim: 3, face: 89/131, weights: [1, 1, 2, 2, 1, 1], discriminant: 1
codim: 3, face: 90/131, weights: [1, 2, 1, 1, 1, 2], discriminant: 1
codim: 3, face: 91/131, weights: [1, 2, 1, 1, 2, 1], discriminant: 1
codim: 3, face: 92/131, weights: [1, 2, 1, 2, 1, 1], discriminant: 1
codim: 3, face: 93/131, weights: [1, 2, 2, 1, 1, 1], discriminant: 1
codim: 3, face: 94/131, weights: [0, -2, 0, 0, 0, 0], discriminant: 1
codim: 3, face: 95/131, weights: [0, -2, -2, -1, -1, -1], discriminant: 1
codim: 3, face: 96/131, weights: [0, -1, 0, -1, -1, -1], discriminant: 1
codim: 3, face: 97/131, weights: [1, -1, -1, 0, 0, 1], discriminant: 1
codim: 3, face: 98/131, weights: [1, 0, 1, 0, 0, 1], discriminant: 1
codim: 3, face: 99/131, weights: [0, -1, -1, -2, -2, -1], discriminant: 1
codim: 3, face: 100/131, weights: [1, 0, 0, -1, -1, 1], discriminant: 1
codim: 3, face: 101/131, weights: [1, 0, 1, -1, -1, 0], discriminant: 1
codim: 3, face: 102/131, weights: [1, -1, -1, 0, 1, 0], discriminant: 1
codim: 3, face: 103/131, weights: [1, 0, 1, 0, 1, 0], discriminant: s12^2 - 2*s12*s34 + s12*s56 - 2*s34^2 - 2*s34*s56 + s56^2
codim: 3, face: 104/131, weights: [0, -1, -1, -1, 0, -1], discriminant: 1
