codim: 3, face: 361/421, weights: [0, -1, -1, -1, -1, -2, -1], discriminant: m1^2*m3 - m1*m2*m3 - m1*m2*m4 + m1*m2*s + m1*m3^2 - m1*m3*m4 - m1*m3*s - m1*m3*t + m1*m4*t - m1*s*t + m2^2*m4 - m2*m3*m4 + m2*m3*t + m2*m4^2 - m2*m4*s - m2*m4*t - m2*s*t + m3*m4*s - m3*s*t - m4*s*t + s^2*t + s*t^2
codim: 3, face: 362/421, weights: [1, 0, 0, 0, 0, -1, 1], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 3, face: 363/421, weights: [1, 0, 0, 0, 1, -1, 0], discriminant: m1^2*m3 - m1*m2*m3 - m1*m2*m4 + m1*m2*s + m1*m3^2 - m1*m3*m4 - m1*m3*s - m1*m3*t + m1*m4*t - m1*s*t + m2^2*m4 - m2*m3*m4 + m2*m3*t + m2*m4^2 - m2*m4*s - m2*m4*t - m2*s*t + m3*m4*s - m3*s*t - m4*s*t + s^2*t + s*t^2
codim: 3, face: 364/421, weights: [1, 0, 0, 1, 0, -1, 0], discriminant: m1^2 - 2*m1*m2 - 2*m1*s + m2^2 - 2*m2*s + s^2
codim: 3, face: 365/421, weights: [1, 0, -1, 0, 0, -1, 0], discriminant: 1
codim: 3, face: 366/421, weights: [0, -2, 0, 0, 0, 0, -2], discriminant: 1
codim: 3, face: 367/421, weights: [0, -1, -1, -1, -1, -1, -2], discriminant: 1
codim: 3, face: 368/421, weights: [1, 0, 0, 0, 0, 1, -1], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 3, face: 369/421, weights: [1, 0, 0, 0, 1, 0, -1], discriminant: m1^2*m3 - m1*m2*m3 - m1*m2*m4 + m1*m2*s + m1*m3^2 - m1*m3*m4 - m1*m3*s - m1*m3*t + m1*m4*t - m1*s*t + m2^2*m4 - m2*m3*m4 + m2*m3*t + m2*m4^2 - m2*m4*s - m2*m4*t - m2*s*t + m3*m4*s - m3*s*t - m4*s*t + s^2*t + s*t^2
codim: 3, face: 370/421, weights: [1, 0, 0, 1, 0, 0, -1], discriminant: m1^2*m3 - m1*m2*m3 - m1*m2*m4 + m1*m2*s + m1*m3^2 - m1*m3*m4 - m1*m3*s - m1*m3*t + m1*m4*t - m1*s*t + m2^2*m4 - m2*m3*m4 + m2*m3*t + m2*m4^2 - m2*m4*s - m2*m4*t - m2*s*t + m3*m4*s - m3*s*t - m4*s*t + s^2*t + s*t^2
codim: 3, face: 371/421, weights: [1, 0, -1, 0, 0, 0, -1], discriminant: 1
codim: 3, face: 372/421, weights: [1, -1, 1, 0, 0, 0, 0], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
codim: 3, face: 373/421, weights: [0, -1, 0, -1, -1, -1, -1], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
codim: 3, face: 374/421, weights: [2, 0, 1, 0, 1, 1, 1], discriminant: 1
codim: 3, face: 375/421, weights: [0, -1, -1, -2, -1, -1, -1], discriminant: m4
codim: 3, face: 376/421, weights: [2, 0, 0, -1, 1, 1, 1], discriminant: 1
codim: 3, face: 377/421, weights: [1, 0, 1, -1, 0, 0, 0], discriminant: m4
codim: 3, face: 378/421, weights: [1, 0, 1, 0, 0, 0, 1], discriminant: m4, t
codim: 3, face: 379/421, weights: [1, 0, 0, -1, 0, 0, 1], discriminant: m4
codim: 3, face: 380/421, weights: [1, 0, 1, 0, 0, 1, 0], discriminant: 1
codim: 3, face: 381/421, weights: [0, -1, -1, -2, -2, -1, -2], discriminant: 1
codim: 3, face: 382/421, weights: [1, 0, 0, -1, -1, 1, -1], discriminant: 1
codim: 3, face: 383/421, weights: [1, 0, 1, -1, -1, 0, -1], discriminant: 1
codim: 3, face: 384/421, weights: [1, 0, 0, -2, -1, 0, -1], discriminant: 1
codim: 3, face: 385/421, weights: [1, 0, 1, 0, -1, 0, 0], discriminant: t
codim: 3, face: 386/421, weights: [1, 0, 0, -1, -2, 0, -1], discriminant: 1
codim: 3, face: 387/421, weights: [1, 0, 1, 0, 1, 0, 0], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
codim: 3, face: 388/421, weights: [1, 0, 0, -1, 1, 0, 0], discriminant: m4
codim: 3, face: 389/421, weights: [1, 0, 1, 0, 0, -1, 0], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
codim: 3, face: 390/421, weights: [1, 0, 0, -1, 0, -1, 0], discriminant: 1
